2025-09-28 15:53:20,828: Key.shift_r
2025-09-28 15:53:21,350: 'H'
2025-09-28 15:53:21,623: 'e'
2025-09-28 15:53:21,901: 'l'
2025-09-28 15:53:22,154: 'l'
2025-09-28 15:53:22,386: 'o'
2025-09-28 15:53:22,710: Key.space
2025-09-28 15:53:24,271: Key.shift_r
2025-09-28 15:53:24,581: 'C'
2025-09-28 15:53:24,939: 'a'
2025-09-28 15:53:25,157: 'n'
2025-09-28 15:53:25,460: Key.space
2025-09-28 15:53:26,143: 'y'
2025-09-28 15:53:26,421: 'o'
2025-09-28 15:53:26,704: 'u'
2025-09-28 15:53:27,078: Key.space
2025-09-28 15:53:27,402: 's'
2025-09-28 15:53:28,579: 'e'
2025-09-28 15:53:28,809: 'e'
2025-09-28 15:53:29,297: Key.space
2025-09-28 15:53:30,782: 'm'
2025-09-28 15:53:31,019: 'e'
2025-09-28 15:53:31,313: Key.shift_r
2025-09-28 15:53:31,693: '?'
2025-09-28 15:53:32,290: Key.space
2025-09-28 15:53:32,437: Key.shift_r
2025-09-28 15:53:35,218: ':'
2025-09-28 15:53:35,948: ')'
2025-09-28 15:53:38,105: Key.esc
